City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
547,Levelland,US,83.19,overcast clouds,33.5873,-102.378,"Holiday Inn Express & Suites Levelland, an IHG Hotel"
549,Passos,BR,75.15,broken clouds,-20.7189,-46.6097,Hotel Mohallem
555,Goure,NE,88.32,few clouds,13.9835,10.2704,
556,Bambanglipuro,ID,75.96,broken clouds,-7.95,110.2833,Puri Brata
563,San Juan Del Sur,NI,88.02,scattered clouds,11.2529,-85.8705,Nuestra Casa
567,Buala,SB,79.29,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
570,Sorong,ID,77.54,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
580,Ambon,ID,82.02,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
582,Casa Nova,BR,87.58,broken clouds,-9.4167,-41.1333,LÔRO BEACH. DUNAS
584,Hobyo,SO,83.57,broken clouds,5.3505,48.5268,Iftin hotel hobyo
598,Sabalgarh,IN,86.74,clear sky,26.25,77.4,Kailadevi studio
600,Takoradi,GH,80.74,scattered clouds,4.8845,-1.7554,Raybow International Hotel
602,Manzanillo,CU,84.47,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
607,Vila Velha,BR,89.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
617,Progreso,MX,91.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
620,Kalmunai,LK,78.57,broken clouds,7.4167,81.8167,VS Villa
623,Beinamar,TD,90.55,broken clouds,8.6698,15.3813,
627,Bandar-E Lengeh,IR,79.59,broken clouds,26.5579,54.8807,کافی نت پارس
629,Gizo,SB,79.74,light rain,-8.103,156.8419,Imagination Island
635,Mahajanga,MG,80.06,moderate rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
638,Beloha,MG,75.6,overcast clouds,-25.1667,45.05,
639,Mitsamiouli,KM,80.4,light rain,-11.3847,43.2844,Foyer ADM
642,Eydhafushi,MV,84.2,moderate rain,5.1033,73.0708,Soneva Fushi
647,Neiafu,TO,75.88,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
648,Rio Tuba,PH,81.99,clear sky,8.5061,117.4317,Jjas Pension House
650,Trairi,BR,79.59,broken clouds,-3.2778,-39.2689,janelas do mar
654,Bar Bigha,IN,85.19,clear sky,25.2167,85.7333,Raj Complex Maur
656,Kieta,PG,78.33,light rain,-6.2167,155.6333,Uruna Bay Retreat
659,Havelock,US,78.98,broken clouds,34.8791,-76.9013,Sherwood Motel
661,Banda Aceh,ID,80.53,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
665,Mayo,US,75.61,clear sky,38.8876,-76.5119,Resorts Resource Group International
666,Iquitos,PE,77.04,thunderstorm with rain,-3.7481,-73.2472,Cortez Malaga Techy Caroly
668,Poso,ID,78.24,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
670,Cap Malheureux,MU,77.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
676,Abonnema,NG,80.89,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
680,Vallenar,CL,79.2,scattered clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
684,Sinnamary,GF,75.07,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
685,Puerto Asis,CO,84.99,overcast clouds,0.5133,-76.5007,Ayawaska Hostal
686,Ixtapa,MX,91.17,clear sky,20.7,-105.2,hotel la terminal
688,Dwarka,IN,80.38,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
689,Sao Jose Da Coroa Grande,BR,80.49,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
